NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s012,8,15,141.163059,141.163058,27923,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s081,8,15,211.900119,211.900119,15248,16000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s080,8,15,190.396591,190.396591,26768,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s027,8,16,144.16482,144.164821,14811,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s026,8,15,210.193938,210.193938,29537,15000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s019,8,15,188.793716,188.793716,13435,14000,false,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s018,8,15,148.955526,148.955525,27219,15000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s050,8,15,192.290749,192.290749,6668,14000,true,true,,,,
xc7s25 t08 e013 r0.1 R0.5 d10.0 D50.0 s051,8,16,130.595796,130.595796,12372,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s034,8,16,135.531389,135.531388,19626,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s035,8,16,127.269219,127.26922,14791,13000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s043,8,16,178.770278,178.770279,21795,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s042,8,16,207.866314,207.866315,12924,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s098,8,16,163.412745,163.412746,11772,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s099,8,16,178.641721,178.64172,20915,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s077,8,16,120.733814,120.733815,15484,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s076,8,16,140.794404,140.794404,23091,13000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s001,8,17,146.509497,146.509497,19933,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s092,8,16,146.187921,146.187921,18593,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s093,8,16,208.335142,208.335142,19932,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s049,8,16,239.76004,239.76004,20562,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s048,8,16,164.04378,164.043781,35162,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s023,8,17,181.524179,181.524179,24654,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s022,8,16,209.429496,209.429495,21331,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s054,8,16,148.559439,148.559439,23303,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s055,8,16,211.900436,211.900437,30874,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s060,8,16,194.327334,194.327333,11723,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s061,8,16,207.839074,207.839074,19960,16000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s029,8,17,128.464098,128.464098,9285,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s028,8,16,205.704224,205.704223,12897,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s085,8,16,122.998685,122.998686,12338,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s084,8,16,207.926392,207.926392,25837,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s017,8,17,147.377126,147.377127,18956,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s016,8,16,184.273366,184.273366,25042,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s024,8,16,187.135029,187.135031,18278,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s025,8,16,161.808092,161.808092,14523,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s088,8,16,142.124112,142.124112,27049,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s089,8,16,172.806246,172.806247,19576,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s053,8,17,143.036762,143.036763,21063,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s052,8,17,110.507801,110.507801,14334,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s067,8,17,129.81768,129.81768,24958,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s066,8,16,146.738647,146.738649,39156,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s059,8,17,147.489059,147.489059,13449,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s058,8,16,153.152581,153.15258,17590,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s010,8,16,170.523284,170.523284,7933,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s011,8,16,154.114196,154.114195,18831,13000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s082,8,16,154.96204,154.96204,26384,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s083,8,17,204.920746,204.920746,14493,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s033,8,16,209.1831,209.183099,8615,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s032,8,16,161.551848,161.551849,17212,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s044,8,16,177.286305,177.286304,18158,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s045,8,16,159.926375,159.926375,19237,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s039,8,16,178.24131,178.24131,19859,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s038,8,16,196.422776,196.422777,17080,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s070,8,16,194.551027,194.551027,9464,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s071,8,16,199.531587,199.531587,21227,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s095,8,17,129.360285,129.360286,22036,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s094,8,16,166.675825,166.675824,19178,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s007,8,16,153.963891,153.963892,15108,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s006,8,16,193.865483,193.865483,25230,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s063,8,16,189.044755,189.044755,14304,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s062,8,16,199.764304,199.764304,18233,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s086,8,16,172.072133,172.072133,15293,16000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s087,8,16,156.871493,156.871493,23550,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s014,8,16,147.838176,147.838176,27866,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s015,8,16,187.146309,187.14631,12392,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s020,8,17,152.078318,152.078318,23961,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s021,8,16,175.81821,175.81821,15331,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s069,8,16,116.573235,116.573235,14742,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s068,8,16,154.291091,154.291091,28933,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s057,8,16,98.560699,98.560699,15308,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s056,8,16,205.772767,205.772766,24227,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s074,8,16,179.40732,179.40732,21229,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s075,8,16,185.729958,185.729958,30074,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s003,8,16,155.100652,155.100651,12901,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s002,8,16,187.216217,187.216218,23805,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s091,8,16,183.606421,183.606421,22156,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s090,8,16,184.09609,184.09609,9530,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s037,8,16,170.434741,170.434741,22794,16000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s036,8,16,154.743523,154.743522,5141,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s040,8,17,182.526758,182.526759,9468,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s041,8,16,190.34352,190.34352,22646,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s100,8,17,156.407357,156.407356,20812,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s009,8,16,183.66635,183.66635,29974,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s008,8,16,165.015434,165.015434,10798,14000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s073,8,16,170.553268,170.553268,20795,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s072,8,16,202.712877,202.712877,21350,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s096,8,16,121.991452,121.991451,11650,16000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s097,8,17,113.76122,113.761219,19114,15000,true,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s004,8,16,236.664831,236.664832,15941,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s005,8,17,168.020766,168.020766,13345,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s079,8,16,168.755449,168.755449,26933,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s078,8,16,144.30491,144.304911,15290,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s030,8,16,159.243185,159.243185,20434,14000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s031,8,16,245.584449,245.58445,34803,15000,false,true,,,,
xc7s25 t08 e014 r0.1 R0.5 d10.0 D50.0 s047,8,16,165.011868,165.011869,25304,15000,false,true,,,,
