NAME,T,E,MMIP,Mheft-nf,UMIP,Uheft-nf,S,M,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s046,13,22,192.305001,232.874913,123622873,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s064,13,20,129.370053,187.352319,9978579,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s065,13,22,203.595976,239.848548,27132746,48000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s013,13,21,166.683361,210.67115,10322192,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s012,13,20,146.210559,171.129548,695657037,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s081,13,21,195.472742,238.616759,7734464,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s080,13,22,220.430902,269.189686,9504112,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s027,13,21,146.311709,161.37064,38984862,46000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s026,13,22,164.241991,233.808936,612134118,50000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s019,13,21,208.014111,249.00185,2214702641,49000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s018,13,20,155.320803,214.654991,41359791,45000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s050,13,20,155.626786,193.96635,130305948,43000,false,false,,,
xc7s25 t13 e013 r0.1 R0.5 d10.0 D50.0 s051,13,20,131.507213,192.203092,14063186,47000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s034,13,20,192.042051,221.530478,1492183,51000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s035,13,22,151.383939,152.002788,34340068,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s043,13,24,156.531448,201.680293,48717662,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s042,13,20,200.424226,238.469649,7136739,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s098,13,20,153.787655,212.718424,43260679,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s099,13,22,169.759924,218.749666,62962289,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s077,13,19,124.265758,155.660358,25140624,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s076,13,23,139.507016,176.163038,88683063,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s001,13,20,185.475545,238.832422,10729679,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s092,13,21,177.412365,202.405969,31305599,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s093,13,18,250.633722,283.135333,9230909,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s049,13,21,186.719415,251.672362,70837569,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s048,13,20,214.738608,245.502071,4183721,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s023,13,21,192.765344,232.04561,14326337,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s022,13,21,196.156898,243.543379,457041340,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s054,13,23,136.076348,151.771231,103031924,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s055,13,22,171.374937,263.656314,6302056,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s060,13,23,149.754094,228.252682,8782511,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s061,13,22,184.211193,204.152224,125889039,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s029,13,21,145.634684,157.049987,333958332,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s028,13,19,235.936063,258.295961,9978636,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s085,13,20,172.255486,186.610411,27597216,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s084,13,21,168.823274,176.277243,8925540,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s017,13,23,171.504932,221.920201,362534922,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s016,13,21,184.737543,195.920004,3549918,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s024,13,22,161.190822,173.200558,2456894426,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s025,13,23,143.900766,155.597827,174596549,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s088,13,21,135.380973,161.655687,2124368,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s089,13,21,217.428348,292.912702,19115532,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s053,13,22,157.281872,203.603545,14151081,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s052,13,22,159.063991,257.876314,1308842021,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s067,13,19,202.594081,218.05132,17010560,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s066,13,22,157.565068,176.996862,126511011,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s059,13,20,149.134823,178.6659,8814417,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s058,13,21,123.337074,135.185709,9049560,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s010,13,22,170.680179,183.324466,431559682,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s011,13,22,167.559318,216.736782,2654348,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s082,13,20,135.002281,204.757431,9237424,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s083,13,21,204.029444,282.455955,4587981,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s033,13,22,189.036775,238.179396,93188964,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s032,13,21,197.180576,253.109939,10857809,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s044,13,21,196.107982,230.86614,1799714508,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s045,13,22,176.47596,219.170653,12629581,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s039,13,21,163.37944,185.900942,4264108207,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s038,13,22,210.146319,253.938241,6501476,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s070,13,21,144.151999,186.687899,301355501,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s071,13,21,163.982164,207.299994,26006058,47000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s095,13,21,159.059244,213.108332,114056249,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s094,13,20,157.893128,239.598807,37334518,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s007,13,23,157.97414,170.946459,66515999,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s006,13,19,196.907013,236.282223,2102134,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s063,13,20,189.045848,228.059594,4879611,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s062,13,22,180.148807,213.454431,25985814,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s086,13,21,207.751893,291.770431,4002384,44000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s087,13,21,149.669966,169.273352,45933320,48000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s014,13,22,182.803821,277.027459,44615581,47000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s015,13,20,190.848338,253.919538,238766478,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s020,13,22,184.044258,197.687646,3952970119,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s021,13,20,168.600677,192.226575,5120334,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s069,13,19,119.290784,165.236234,7778398,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s068,13,21,156.658293,237.778201,42822598,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s057,13,22,132.223141,194.059323,2468396,46000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s056,13,22,161.676356,189.447673,16288976,45000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s074,13,22,147.888208,169.184503,52796162,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s075,13,21,150.89634,170.410063,16937992,43000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s003,13,22,167.626596,221.27287,328570297,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s002,13,23,167.102825,182.246124,950338637,49000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s091,13,22,165.594646,258.411012,42100977,50000,false,false,,,
xc7s25 t13 e014 r0.1 R0.5 d10.0 D50.0 s090,13,21,180.917747,202.906722,13425884,50000,false,false,,,
