NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s070,14,30,233.381154,233.381153,40168340,30000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s071,14,30,246.249426,246.289426,185489787,31000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s095,14,29,196.035224,196.035224,21793276,35000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s094,14,28,233.991499,235.749156,24753303,39000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s007,14,32,154.511672,154.511672,396171344,31000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s006,14,31,197.620631,224.070273,153861183,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s063,14,30,234.012441,356.330474,177496862,45000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s062,14,30,219.369404,219.369404,18080259,35000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s086,14,31,207.471359,207.471359,13470620,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s087,14,30,166.984829,166.984829,21757904,31000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s014,14,29,215.834725,215.834725,10634231,33000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s015,14,31,189.774822,210.330506,177625318,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s020,14,30,273.209495,273.249495,78892256,38000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s021,14,30,188.324028,204.778526,26019463,42000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s069,14,30,151.222982,157.631556,287911022,31000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s068,14,31,180.780134,180.780134,57031979,30000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s057,14,29,161.400495,171.854158,28935431,30000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s056,14,30,267.581194,409.273104,36546048,28000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s074,14,29,227.072839,232.821359,71102668,31000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s075,14,32,187.445636,196.786657,1348806567,36000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s003,14,31,211.141604,211.141602,20043124,38000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s002,14,31,209.862426,209.862426,6626845,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s091,14,29,288.022441,288.02244,44679213,34000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s090,14,30,197.898822,197.898821,86840170,32000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s037,14,32,163.698827,163.698827,616952775,38000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s036,14,30,206.479334,239.793014,44944126,43000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s040,14,30,185.12765,185.12765,8406051,33000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s041,14,29,214.703345,214.703345,22102030,42000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s100,14,29,238.427462,238.467461,15477669,35000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s009,14,30,191.301509,193.058545,509978963,38000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s008,14,33,199.482292,199.482292,1718064256,35000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s073,14,30,160.465316,162.063302,14715236,30000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s072,14,30,221.27593,234.879664,495125576,34000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s096,14,32,164.719113,190.429931,118958419,30000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s097,14,33,135.79418,167.301368,71410208,38000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s004,14,29,266.256794,266.256795,16742357,34000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s005,14,31,225.37469,225.37469,70933657,35000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s079,14,29,299.765332,299.765331,25013548,34000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s078,14,30,189.285003,189.285003,32952748,32000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s030,14,31,192.629798,195.288003,99700376,39000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s031,14,30,264.741155,264.741154,38967128,35000,false,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s047,14,30,186.005582,204.528949,101609652,37000,false,false,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s046,14,30,248.13183,248.13183,56501446,41000,true,true,,,
xc7s25 t14 e025 r0.1 R0.5 d10.0 D50.0 s064,14,30,208.970509,443.265095,166960144,45000,false,false,,,
