NAME	T	E	MMIP	MDAMS	UMIP	UDAMS	S	M
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s094"	15	78	357.711736	357.711736	45289144	109000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s007"	15	79	313.776804	313.776805	74296425	108000	true	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s006"	15	78	367.247271	392.940151	145028418	109000	false	false
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s063"	15	78	419.911830	419.911830	36478222	106000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s062"	15	78	432.917087	432.917088	68324154	117000	true	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s086"	15	78	419.181027	419.181027	79389965	105000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s087"	15	78	370.771334	370.771334	16765440	109000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s014"	15	78	392.969592	392.969591	172852642	114000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s015"	15	78	385.291037	385.291039	270860986	116000	false	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s020"	15	78	380.762464	380.762464	52694763	117000	true	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s021"	15	78	405.700893	405.700893	134130907	113000	true	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s069"	15	78	274.610554	274.610554	41461842	115000	true	true
"xc7s25 t15 e076 r0.1 R0.5 d10.0 D50.0 s068"	15	78	328.191318	328.191316	38749996	115000	false	true
