NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s099,6,8,119.099862,119.099862,2105,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s077,6,8,76.249101,76.249101,2118,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s076,6,8,121.166311,121.166311,4004,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s001,6,8,110.819269,110.819269,11849,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s092,6,8,106.186916,106.186916,2851,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s093,6,8,151.738861,151.738861,3250,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s049,6,8,156.847417,156.847417,2330,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s048,6,8,89.096032,89.096033,2238,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s023,6,8,141.866449,141.866449,2628,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s022,6,8,125.493233,125.493232,2803,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s054,6,8,77.682309,77.68231,3222,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s055,6,8,142.207386,142.207387,2528,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s060,6,8,157.386105,157.386105,3388,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s061,6,8,147.9576,147.9576,2585,11000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s029,6,8,86.57498,86.57498,2063,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s028,6,8,129.778801,129.778801,3129,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s085,6,8,85.631034,85.631035,3331,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s084,6,8,144.832562,144.832562,3052,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s017,6,8,101.825559,101.82556,2392,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s016,6,8,130.640039,130.640039,3571,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s024,6,8,100.145874,100.145875,1367,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s025,6,8,127.673237,127.673237,2949,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s088,6,8,102.792596,102.792596,3074,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s089,6,8,112.228296,112.228297,1921,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s053,6,8,118.810193,118.810194,1752,12000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s052,6,8,89.603469,89.603469,2580,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s067,6,8,94.877229,94.877229,3532,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s066,6,8,90.224673,90.224674,2351,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s059,6,8,128.792762,128.792762,2223,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s058,6,8,104.831303,104.831303,2414,13000,false,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s010,6,8,119.716854,119.716854,3957,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s011,6,8,112.581291,112.581291,1022,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s082,6,8,104.066189,104.066189,2631,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s083,6,8,158.499616,158.499617,2685,11000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s033,6,8,134.570018,134.570017,2802,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s032,6,8,100.833109,100.83311,2432,13000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s044,6,8,137.532394,137.532394,2609,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s045,6,8,118.103805,118.103804,2770,12000,true,true,,,,
xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s039,6,8,113.705718,113.705718,2025,11000,false,true,,,,
