NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s047"	6	7	73.306318	85.592908	17586	41000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s046"	6	7	81.825287	81.825287	15942	48000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s064"	6	7	67.865623	67.865623	34337	42000	false	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s065"	6	7	78.034469	78.034470	25221	47000	false	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s013"	6	7	63.682337	76.573405	19168	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s012"	6	7	52.991866	52.991865	10948	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s081"	6	7	74.409847	74.409847	21970	41000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s080"	6	7	88.462717	106.696192	11288	47000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s027"	6	7	73.561918	102.423729	22504	46000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s026"	6	7	84.939289	84.939289	37953	42000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s019"	6	7	90.703149	90.703150	20189	45000	true	true
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s018"	6	7	82.299718	102.091380	12114	45000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s050"	6	7	80.126750	96.222283	51269	42000	false	false
"xc7s25 t06 e001 r0.1 R0.5 d10.0 D50.0 s051"	6	7	65.024175	65.024175	14210	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s034"	6	8	134.830029	134.830029	2712	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s035"	6	8	105.884545	105.884545	1687	43000	true	true
