NAME,T,E,MMIP,MSLOT,UMIP,USLOT,S,M,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s027,12,21,145.043474,145.043474,3803450,31000,true,true,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s026,12,19,186.548983,191.242212,2083492,33000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s019,12,19,190.870574,206.696084,7015883,25000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s018,12,18,179.47454,220.71188,1360106,25000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s050,12,18,178.71053,189.52974,4216513,32000,false,false,,,
xc7s25 t12 e013 r0.1 R0.5 d10.0 D50.0 s051,12,20,106.640927,106.640927,1278243,29000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s034,12,21,156.206701,156.2067,2479195,32000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s035,12,19,179.744695,179.744695,974044,25000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s043,12,22,140.097648,177.23676,4017279,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s042,12,18,225.45562,225.45562,486891,30000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s098,12,19,154.654807,154.654808,995388,28000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s099,12,20,168.552009,176.949843,1072839,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s077,12,19,139.307832,142.873668,1222424,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s076,12,20,149.608974,154.604865,8213756,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s001,12,19,205.403726,214.845777,764059,26000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s092,12,19,166.663451,251.35331,3705068,33000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s093,12,19,192.578504,192.578504,3571196,23000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s049,12,20,203.937379,208.896482,1002162,28000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s048,12,21,147.495481,147.495482,1305214,30000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s023,12,19,180.970054,180.970053,5275773,34000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s022,12,23,189.736649,194.300079,1635538,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s054,12,20,154.655372,282.169405,408849,28000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s055,12,19,191.47889,191.47889,641736,26000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s060,12,21,179.953597,179.993596,405409,25000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s061,12,18,187.862237,187.862237,681290,25000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s029,12,22,137.32293,137.32293,67260496,34000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s028,12,19,158.146184,158.186183,855614,28000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s085,12,19,130.965771,139.097331,13066228,33000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s084,12,21,212.947322,212.987322,6647408,26000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s017,12,22,160.250189,160.250188,4472501,32000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s016,12,21,139.016804,143.235058,5818456,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s024,12,19,180.6981,180.698101,1796809,25000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s025,12,21,145.993867,147.247782,101816678,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s088,12,21,150.673845,161.047353,384953,27000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s089,12,21,194.265067,194.265068,5784966,31000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s053,12,20,154.998147,162.854646,881391,26000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s052,12,19,166.166904,166.166905,1171031,29000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s067,12,19,195.609987,236.331707,756892,24000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s066,12,20,140.714389,140.71439,2463634,35000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s059,12,19,152.644468,152.644469,1052536,28000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s058,12,18,132.787381,179.451132,417984,28000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s010,12,21,141.989594,229.896859,2767568,30000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s011,12,21,142.811871,146.078325,1313481,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s082,12,19,164.424007,164.424007,712321,27000,false,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s083,12,22,194.225479,206.713244,9639833,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s033,12,20,168.289674,168.289673,1731654,25000,true,true,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s032,12,22,170.741189,174.364391,12145208,32000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s044,12,20,170.291225,182.600717,4444889,29000,false,false,,,
xc7s25 t12 e014 r0.1 R0.5 d10.0 D50.0 s045,12,20,168.674705,168.674703,6098608,32000,false,true,,,
